confidence_score,longitude,id,short_description,province,ticket_price,subcategory,category,commune,name_en,description,rating,review_count,google_maps_url,district,signature_items,latitude,address,name
,105.0118,PL001,Tuyệt Tình Cốc miền Tây,An Giang,Miễn phí,Check-in thiên nhiên,Hồ nước,Xã Núi Tô,Ta Pa Lake,,4.6,1250,"https://maps.google.com/?q=10.4216,105.0118",Tri Tôn,,10.4216,"Núi Tà Pạ, Xã Núi Tô, Tri Tôn, An Giang",Hồ Tà Pạ
,105.0135,PL002,Ngôi chùa chênh vách núi,An Giang,Miễn phí,Tâm linh,Chùa Khmer,Xã Núi Tô,Ta Pa Pagoda,,4.7,890,"https://maps.google.com/?q=10.4208,105.0135",Tri Tôn,,10.4208,"Đồi Tà Pạ, Xã Núi Tô, Tri Tôn, An Giang",Chùa Tà Pạ
,105.009,PL003,Thảm lúa ô màu & con đường tơ lụa,An Giang,Miễn phí,Danh thắng,Cánh đồng,Xã Núi Tô,Ta Pa Rice Fields,,4.8,1500,"https://maps.google.com/?q=10.4180,105.0090",Tri Tôn,,10.418,"Xã Núi Tô, Tri Tôn, An Giang",Cánh Đồng Lúa Tà Pạ
,105.025,PL004,Suối Vàng Soài So dưới chân núi Cô Tô,An Giang,Miễn phí,Khu sinh thái,Hồ nước,Thị trấn Tri Tôn,Soai So Lake,,4.5,670,"https://maps.google.com/?q=10.4050,105.0250",Tri Tôn,,10.405,"Thị trấn Tri Tôn, An Giang",Hồ Soài So
,105.015,PL005,Đỉnh núi cao 614m đón bình minh ngắm trọn Bảy Núi,An Giang,Miễn phí,Săn mây,Núi,Xã Núi Tô,Co To Mountain,,4.7,980,"https://maps.google.com/?q=10.4000,105.0150",Tri Tôn,,10.4,"Xã Núi Tô, Tri Tôn, An Giang",Núi Cô Tô & Đá Vồ Hội
,105.019,PL006,Hồ nước bình yên sườn đồi Tà Pạ,An Giang,Miễn phí,Check-in,Hồ nước,Xã Núi Tô,Soai Chek Lake,,4.5,320,"https://maps.google.com/?q=10.4160,105.0190",Tri Tôn,,10.416,"Xã Núi Tô, Tri Tôn, An Giang",Hồ Soài Chék
,104.992,PL007,Thủ phủ món gà đốt Ô Thum và cầu gỗ mộc,An Giang,Miễn phí,Gà đốt Ô Thum,Hồ nước,Xã Ô Lâm,O Thum Lake,,4.6,1890,"https://maps.google.com/?q=10.3780,104.9920",Tri Tôn,,10.378,"Xã Ô Lâm, Tri Tôn, An Giang",Hồ Ô Thum
,104.9667,PL008,Ngọn đồi 2 triệu USD với hệ thống hang động granite,An Giang,60.000 VNĐ,Khu du lịch,Di tích lịch sử,Xã An Tức,Tuc Dup Hill,,4.5,2100,,Tri Tôn,,10.3702,"Ấp Ninh Hòa, Xã An Tức, Tri Tôn, An Giang",Khu Du Lịch Đồi Tức Dụp
,104.985,PL009,Cụm thốt nốt cổ thụ tạo hình trái tim tự nhiên,An Giang,Miễn phí,Biểu tượng,Điểm check-in,Xã An Tức,Heart Palmyra Palms,,4.6,1420,,Tri Tôn,,10.3895,"Xã An Tức, Tri Tôn, An Giang",Hàng Thốt Nốt Trái Tim
,105.002,PL010,Cổng chùa vòm Khmer trần giữa đồng lúa,An Giang,Miễn phí,Kiến trúc Khmer,Điểm check-in,Xã Chau Lăng,Koh Kas Gate,,4.6,1100,,Tri Tôn,,10.441,"Xã Chau Lăng, Tri Tôn, An Giang",Cổng Trời Tri Tôn (Chùa Koh Kas)
,105.001,PL011,Vòm cây còng cổ thụ trăm tuổi dẫn vào chùa,An Giang,Miễn phí,Thắng cảnh,Chùa Khmer,Xã Chau Lăng,Krang Kroch Pagoda,,4.6,780,,Tri Tôn,,10.435,"Xã Chau Lăng, Tri Tôn, An Giang",Chùa Hàng Còng (Krăng Krốch)
,104.952,PL012,Căn cứ Tỉnh ủy An Giang ngầm dưới lòng đá,An Giang,Miễn phí,Rừng tầm vông,Di tích lịch sử,Xã Lương Phi,O Ta Soc Lake,,4.5,520,,Tri Tôn,,10.456,"Xã Lương Phi, Tri Tôn, An Giang",Khu Di Tích & Hồ Ô Tà Sóc
,104.908,PL013,Nơi tưởng niệm 3.157 nạn nhân thảm sát Ba Chúc 1978,An Giang,Miễn phí,Di tích Quốc gia,Di tích lịch sử,Thị trấn Ba Chúc,Ba Chuc Memorial Site,,4.7,1340,,Tri Tôn,,10.495,"Thị trấn Ba Chúc, Tri Tôn, An Giang",Khu Di Tích Nhà Mồ Ba Chúc
,105.0088,PL014,Ngôi chùa Khmer cổ nhất An Giang bảo tồn Kinh Lá Buông,An Giang,Miễn phí,Di tích Quốc gia,Chùa Khmer,Thị trấn Tri Tôn,Xvayton Pagoda,,4.7,890,,Tri Tôn,,10.4132,"Thị trấn Tri Tôn, An Giang",Chùa Xà Tón (Wat Xvayton)
,105.002,PL015,Hồ vách đá đứng hoang sơ mộc mạc,An Giang,Miễn phí,Cắm trại,Hồ nước,Xã An Hảo,Latina Lake,,4.5,940,,Tri Tôn,,10.482,"Xã An Hảo, Tri Tôn, An Giang",Hồ Đá Latina
96.0,104.952,DP001,,An Giang,,,Cà phê & Quán nước dã ngoại,Xã Lương Phi,,Quán nghỉ chân rợp bóng rừng tầm vông xanh mát dẫn tới lòng hồ Ô Tà Sóc.,4.7,420,"https://maps.google.com/?q=10.4560,104.9520",Tri Tôn,"['Thốt nốt sữa tươi mát lạnh', 'Nước thốt nốt ướp lạnh', 'Bánh bò thốt nốt']",10.456,"Đường vào Căn cứ Ô Tà Sóc, Xã Lương Phi, Huyện Tri Tôn, An Giang",Quán Nước & Thốt Nốt Sữa Rừng Tầm Vông Ô Tà Sóc
94.0,104.962,DP002,,An Giang,,,Cà phê view lòng hồ,Xã An Hảo,,Quán view lòng hồ Ô Tà Lọt tĩnh lặng nép mình dưới chân dãy núi Dài.,4.5,290,"https://maps.google.com/?q=10.4780,104.9620",Tri Tôn,"['Cà phê phin đá thốt nốt', 'Trà dâu tằm dầm']",10.478,"Khu vực Hồ Ô Tà Lọt, Xã An Hảo / Tri Tôn, An Giang",Quán Cà Phê & Điểm Check-in Bờ Hồ Ô Tà Lọt
98.0,105.0072,DP003,,An Giang,,,Quán ăn đặc sản truyền thống,Thị trấn Tri Tôn,,Quán bánh canh gia truyền nổi tiếng nhất Tri Tôn có tuổi đời trên 30 năm.,4.7,890,"https://maps.google.com/?q=10.4135,105.0072",Tri Tôn,"['Bánh canh bột gạo Sóc thủ công', 'Giò heo giòn bì', 'Nước dùng ngọt thanh xương ống']",10.4135,"114 Trần Hưng Đạo, Thị trấn Tri Tôn, An Giang",Quán Bánh Canh Lò Rèn Tri Tôn (>30 năm)
96.0,104.909,DP004,,An Giang,,,Quán ăn đặc sản thịt bò Bảy Núi,Thị trấn Ba Chúc,,Quán bò tươi Bảy Núi trứ danh vùng Ba Chúc được phượt thủ yêu thích.,4.6,670,"https://maps.google.com/?q=10.4960,104.9090",Tri Tôn,"['Cháo bò trái trúc', 'Bò nướng bơ tỏi', 'Lẩu bò Bảy Núi ăn kèm rau rừng']",10.496,"Tỉnh lộ 955N, Thị trấn Ba Chúc, Huyện Tri Tôn, An Giang",Quán Bò 7 Món & Cháo Bò Bảy Núi Ba Chúc
95.0,104.991,DP005,,An Giang,,,Quán ăn ẩm thực Gà Đốt Ô Thum,Xã Ô Lâm,,Quán gà đốt có không gian rộng rãi kết hợp tham quan vườn nho độc đáo.,4.5,810,"https://maps.google.com/?q=10.3780,104.9910",Tri Tôn,"['Gà đốt lá chúc da giòn', 'Tham quan vườn nho sai trái']",10.378,"Khu vực Hồ Ô Thum, Xã Ô Lâm, Huyện Tri Tôn, An Giang",Quán Ăn Gà Đốt Ô Thum Thảo Nguyên
