id,name,category,description,address,commune,latitude,longitude,opening_hours,ticket_price,rating,review_count,confidence_score,is_active
PL001,Hồ Tà Pạ (Tuyệt Tình Cốc),Hồ nước,,"Núi Tà Pạ, Xã Núi Tô, Tri Tôn, An Giang",Xã Núi Tô,10.4216,105.0118,06:00 - 18:00,Miễn phí,4.6,1850,95.0,True
PL002,Hồ Soài So,Hồ nước,,"Sườn núi Cô Tô, Thị trấn Tri Tôn, Tri Tôn, An Giang",Thị trấn Tri Tôn,10.405,105.025,06:00 - 18:00,Miễn phí,4.5,670,95.0,True
PL003,Hồ Soài Chék,Hồ nước,,"Xã Núi Tô, Tri Tôn, An Giang",Xã Núi Tô,10.416,105.019,06:00 - 18:00,Miễn phí,4.5,320,95.0,True
PL004,Hồ Ô Thum,Hồ nước,,"Xã Ô Lâm, Tri Tôn, An Giang",Xã Ô Lâm,10.378,104.992,07:00 - 20:00,Miễn phí,4.6,1890,95.0,True
PL005,Hồ Ô Tà Sóc,Hồ nước,,"Xã Lương Phi, Tri Tôn, An Giang",Xã Lương Phi,10.456,104.952,07:00 - 17:00,Miễn phí,4.5,520,95.0,True
PL006,Hồ Ô Tà Lọt,Hồ nước,,"Xã An Hảo, Tri Tôn, An Giang",Xã An Hảo,10.478,104.962,07:00 - 17:00,Miễn phí,4.5,290,95.0,True
PL007,Hồ Đá Latina,Hồ nước,,"Xã An Hảo, Tri Tôn, An Giang",Xã An Hảo,10.482,105.002,Tự do,Miễn phí,4.5,940,95.0,True
PL008,Núi Cô Tô (Phụng Hoàng Sơn),Núi,,"Xã Núi Tô, Tri Tôn, An Giang",Xã Núi Tô,10.4,105.015,Tự do,Miễn phí,4.7,1120,95.0,True
PL009,Đá Vồ Hội Mẹ Cô Tô,Săn mây,,"Đỉnh Núi Cô Tô, Xã Núi Tô, Tri Tôn, An Giang",Xã Núi Tô,10.401,105.016,Tự do,Miễn phí,4.8,890,95.0,True
PL010,Khu Du Lịch Đồi Tức Dụp,Di tích lịch sử,,"Ấp Ninh Hòa, Xã An Tức, Tri Tôn, An Giang",Xã An Tức,10.3702,104.9667,07:00 - 17:00,60.000 VNĐ,4.5,2100,95.0,True
PL011,Cánh Đồng Lúa Tà Pạ,Cánh đồng,,"Xã Núi Tô, Tri Tôn, An Giang",Xã Núi Tô,10.418,105.009,Tự do,Miễn phí,4.8,1500,95.0,True
PL012,Rừng Tầm Vông Ô Tà Sóc,Rừng sinh thái,,"Xã Lương Phi, Tri Tôn, An Giang",Xã Lương Phi,10.457,104.953,07:00 - 17:00,Miễn phí,4.6,410,95.0,True
PL013,Cánh Đồng Lúa Ba Chúc,Cánh đồng,,"Thị trấn Ba Chúc, Tri Tôn, An Giang",Thị trấn Ba Chúc,10.493,104.905,Tự do,Miễn phí,4.6,350,95.0,True
PL014,Vườn Nho Nông Trại Ô Thum,Nông trại,,"Hồ Ô Thum, Xã Ô Lâm, Tri Tôn, An Giang",Xã Ô Lâm,10.3782,104.9912,07:30 - 17:30,10.000 VNĐ,4.5,520,95.0,True
PL015,Vườn Mãng Cầu Núi Tô,Nông trại,,"Sườn Núi Tô, Tri Tôn, An Giang",Xã Núi Tô,10.408,105.021,07:00 - 17:00,Miễn phí,4.5,280,95.0,True
PL016,Suối Vàng Soài So,Suối sinh thái,,"Thị trấn Tri Tôn, An Giang",Thị trấn Tri Tôn,10.4055,105.0255,07:00 - 17:00,Miễn phí,4.5,430,95.0,True
PL017,Núi Dài (Ngọa Long Sơn),Núi,,"Xã Lương Phi, Tri Tôn, An Giang",Xã Lương Phi,10.45,104.94,Tự do,Miễn phí,4.6,390,95.0,True
PL018,Cánh Đồng Thốt Nốt Chau Lăng,Cánh đồng,,"Xã Chau Lăng, Tri Tôn, An Giang",Xã Chau Lăng,10.437,105.003,Tự do,Miễn phí,4.6,610,95.0,True
PL019,Vách Đá Đứng Latina,Check-in thiên nhiên,,"Xã An Hảo, Tri Tôn, An Giang",Xã An Hảo,10.4825,105.0025,Tự do,Miễn phí,4.6,480,95.0,True
PL020,Bãi Thả Diều Hoàng Hôn Tri Tôn,Tọa độ chill hoàng hôn,,"Sân đua bò Tri Tôn, An Giang",Thị trấn Tri Tôn,10.4122,105.0082,16:00 - 18:30,Miễn phí,4.8,1150,95.0,True
CK001,Con Đường Tuyến Tránh Tri Tôn (ĐT941 - ĐT948),Cung đường ngắm núi Cô Tô chill nhất An Giang,,"Tuyến đường tránh kết nối ĐT941 - ĐT948, Tri Tôn, An Giang",Thị trấn Tri Tôn,10.419,105.012,Tự do (Chiều 16:00 - 17:30 đẹp nhất),Miễn phí,4.9,2100,95.0,True
CK002,Con Đường Tơ Lụa Tà Pạ,Con đường tơ lụa,,"Đồng lúa Tà Pạ, Xã Núi Tô, Tri Tôn, An Giang",Xã Núi Tô,10.4185,105.0095,Tự do,Miễn phí,4.8,1280,95.0,True
CK003,Con Đường Tơ Lụa Soài Chék,Con đường tơ lụa,,"Ven hồ Soài Chék, Xã Núi Tô, Tri Tôn, An Giang",Xã Núi Tô,10.4162,105.0188,Tự do,Miễn phí,4.7,890,95.0,True
CK004,Con Đường Vòm Còng Châu Lăng,Con đường nhiếp ảnh,,"Ấp An Hòa, Xã Chau Lăng, Tri Tôn, An Giang",Xã Chau Lăng,10.4355,105.0015,Tự do,Miễn phí,4.7,940,95.0,True
CK005,Con Đường Thốt Nốt Ô Lâm - Cô Tô,Con đường nhiếp ảnh,,"Tuyến đường Ô Lâm - Núi Tô, Tri Tôn, An Giang",Xã Ô Lâm,10.38,104.995,Tự do,Miễn phí,4.6,720,95.0,True
CK006,Con Đường Tre Tầm Vông Ô Tà Sóc,Con đường nhiếp ảnh,,"Xã Lương Phi, Tri Tôn, An Giang",Xã Lương Phi,10.4565,104.9525,Tự do,Miễn phí,4.7,610,95.0,True
CK007,Cung Đường Ven Vách Đá Núi Dài (Lương Phi),Cung đường phượt ngắm núi,,"Tuyến Lương Phi - Lê Trì, Tri Tôn, An Giang",Xã Lương Phi,10.458,104.945,Tự do,Miễn phí,4.7,540,95.0,True
CK008,Cung Đường Biên Giới Kênh Vĩnh Tế (Ba Chúc),Cung đường biên giới,,"Tuyến Ba Chúc - Lạc Quới, Tri Tôn, An Giang",Thị trấn Ba Chúc,10.498,104.901,Tự do,Miễn phí,4.7,680,95.0,True
CK009,Hàng Thốt Nốt Trái Tim An Tức,Điểm check-in biểu tượng,,"Xã An Tức, Tri Tôn, An Giang",Xã An Tức,10.3895,104.985,Tự do,Miễn phí,4.7,1560,95.0,True
CK010,Cổng Trời Tri Tôn Vòm Khmer,Điểm check-in biểu tượng,,"Xã Chau Lăng, Tri Tôn, An Giang",Xã Chau Lăng,10.441,105.002,Tự do,Miễn phí,4.7,1320,95.0,True
CK011,Cây Thốt Nốt Cô Độc Chau Lăng,Điểm check-in độc đáo,,"Xã Chau Lăng, Tri Tôn, An Giang",Xã Chau Lăng,10.439,105.0035,Tự do,Miễn phí,4.6,540,95.0,True
CK012,Cầu Gỗ Mộc Mạc Hồ Ô Thum,Điểm check-in sống ảo,,"Xã Ô Lâm, Tri Tôn, An Giang",Xã Ô Lâm,10.378,104.992,Tự do,Miễn phí,4.6,890,95.0,True
CK013,Cầu Gỗ Giữa Đồng Lúa Ruộng Coffee,Điểm check-in sống ảo,,"Xã Núi Tô, Tri Tôn, An Giang",Xã Núi Tô,10.4152,105.0182,06:30 - 18:30,Miễn phí,4.7,780,95.0,True
CK014,Đá Vồ Hội Đổ (Mỏm Đá Sống Ảo),Tọa độ săn ảnh đỉnh núi,,"Đỉnh Núi Cô Tô, Xã Núi Tô, Tri Tôn, An Giang",Xã Núi Tô,10.4015,105.0165,Tự do,Miễn phí,4.8,920,95.0,True
CK015,Cầu Cây Dã Ngoại Hồ Soài So,Điểm check-in ven hồ,,"Thị trấn Tri Tôn, An Giang",Thị trấn Tri Tôn,10.4052,105.0252,Tự do,Miễn phí,4.5,410,95.0,True
CK016,Nấc Thang Thiên Đường Kiều Tiên Ô Thum,Tiểu cảnh check-in,,"Hồ Ô Thum, Xã Ô Lâm, Tri Tôn, An Giang",Xã Ô Lâm,10.3776,104.9926,08:00 - 19:00,Miễn phí,4.5,460,95.0,True
CK017,Căn Nhà Gỗ Vintage Nhà Quê,Góc chụp Đà Lạt,,"Thị trấn Tri Tôn, An Giang",Thị trấn Tri Tôn,10.4112,105.0052,06:30 - 21:00,Miễn phí,4.6,520,95.0,True
